video_id,subject,recording,view
S03A04I01M0,S03,S03A04I01,0
S03A04I01S1,S03,S03A04I01,1
S03A04I01S2,S03,S03A04I01,2
S03A05I01M0,S03,S03A05I01,0
S03A05I01S1,S03,S03A05I01,1
S03A05I01S2,S03,S03A05I01,2
S03A06I01M0,S03,S03A06I01,0
S03A06I01S1,S03,S03A06I01,1
S03A06I01S2,S03,S03A06I01,2
S06A04I01M0,S06,S06A04I01,0
S06A04I01S1,S06,S06A04I01,1
S06A04I01S2,S06,S06A04I01,2
S06A05I01M0,S06,S06A05I01,0
S06A05I01S1,S06,S06A05I01,1
S06A05I01S2,S06,S06A05I01,2
S06A06I01M0,S06,S06A06I01,0
S06A06I01S1,S06,S06A06I01,1
S06A06I01S2,S06,S06A06I01,2
S07A04I01M0,S07,S07A04I01,0
S07A04I01S1,S07,S07A04I01,1
S07A04I01S2,S07,S07A04I01,2
S07A05I01M0,S07,S07A05I01,0
S07A05I01S1,S07,S07A05I01,1
S07A05I01S2,S07,S07A05I01,2
S07A06I01M0,S07,S07A06I01,0
S07A06I01S1,S07,S07A06I01,1
S07A06I01S2,S07,S07A06I01,2
S09A04I01M0,S09,S09A04I01,0
S09A04I01S1,S09,S09A04I01,1
S09A04I01S2,S09,S09A04I01,2
S09A05I01M0,S09,S09A05I01,0
S09A05I01S1,S09,S09A05I01,1
S09A05I01S2,S09,S09A05I01,2
S09A06I01M0,S09,S09A06I01,0
S09A06I01S1,S09,S09A06I01,1
S09A06I01S2,S09,S09A06I01,2
S11A04I01M0,S11,S11A04I01,0
S11A04I01S1,S11,S11A04I01,1
S11A04I01S2,S11,S11A04I01,2
S11A05I01M0,S11,S11A05I01,0
S11A05I01S1,S11,S11A05I01,1
S11A05I01S2,S11,S11A05I01,2
S11A06I01M0,S11,S11A06I01,0
S11A06I01S1,S11,S11A06I01,1
S11A06I01S2,S11,S11A06I01,2
S13A04I01M0,S13,S13A04I01,0
S13A04I01S1,S13,S13A04I01,1
S13A04I01S2,S13,S13A04I01,2
S13A05I01M0,S13,S13A05I01,0
S13A05I01S1,S13,S13A05I01,1
S13A05I01S2,S13,S13A05I01,2
S13A06I01M0,S13,S13A06I01,0
S13A06I01S1,S13,S13A06I01,1
S13A06I01S2,S13,S13A06I01,2
S13A10I21M0,S13,S13A10I21,0
S13A10I21S1,S13,S13A10I21,1
S13A10I21S2,S13,S13A10I21,2
S13A11I21M0,S13,S13A11I21,0
S13A11I21S1,S13,S13A11I21,1
S13A11I21S2,S13,S13A11I21,2
S13A12I21M0,S13,S13A12I21,0
S13A12I21S1,S13,S13A12I21,1
S13A12I21S2,S13,S13A12I21,2
S13A16I24M0,S13,S13A16I24,0
S13A16I24S1,S13,S13A16I24,1
S13A16I24S2,S13,S13A16I24,2
S13A17I24M0,S13,S13A17I24,0
S13A17I24S1,S13,S13A17I24,1
S13A17I24S2,S13,S13A17I24,2
S13A18I24M0,S13,S13A18I24,0
S13A18I24S1,S13,S13A18I24,1
S13A18I24S2,S13,S13A18I24,2
S13A19I23M0,S13,S13A19I23,0
S13A19I23S1,S13,S13A19I23,1
S13A19I23S2,S13,S13A19I23,2
S13A23I23M0,S13,S13A23I23,0
S13A23I23S1,S13,S13A23I23,1
S13A23I23S2,S13,S13A23I23,2
S13A24I23M0,S13,S13A24I23,0
S13A24I23S1,S13,S13A24I23,1
S13A24I23S2,S13,S13A24I23,2
S13A28I31M0,S13,S13A28I31,0
S13A28I31S1,S13,S13A28I31,1
S13A28I31S2,S13,S13A28I31,2
S13A29I31M0,S13,S13A29I31,0
S13A29I31S1,S13,S13A29I31,1
S13A29I31S2,S13,S13A29I31,2
S13A30I31M0,S13,S13A30I31,0
S13A30I31S1,S13,S13A30I31,1
S13A30I31S2,S13,S13A30I31,2
S13A34I32M0,S13,S13A34I32,0
S13A34I32S1,S13,S13A34I32,1
S13A34I32S2,S13,S13A34I32,2
S13A35I32M0,S13,S13A35I32,0
S13A35I32S1,S13,S13A35I32,1
S13A35I32S2,S13,S13A35I32,2
S13A36I32M0,S13,S13A36I32,0
S13A36I32S1,S13,S13A36I32,1
S13A36I32S2,S13,S13A36I32,2
S14A04I01M0,S14,S14A04I01,0
S14A04I01S1,S14,S14A04I01,1
S14A04I01S2,S14,S14A04I01,2
S14A05I01M0,S14,S14A05I01,0
S14A05I01S1,S14,S14A05I01,1
S14A05I01S2,S14,S14A05I01,2
