video_id,participant,n_segments
01_assy_0_1,01,105
01_assy_1_1,01,125
01_main_0_1,01,83
02_assy_0_1,02,126
02_assy_1_2,02,112
02_main_0_1,02,81
04_assy_0_1,04,182
04_assy_2_1,04,135
04_main_0_1,04,97
06_assy_0_1,06,108
06_assy_1_4,06,108
06_main_0_1,06,73
07_assy_0_1,07,93
07_assy_2_3,07,137
07_main_0_1,07,61
11_assy_0_1,11,124
11_assy_3_3,11,100
11_main_0_1,11,68
15_assy_0_1,15,118
15_main_3_1,15,83
15_main_3_2,15,60
16_assy_0_1,16,180
16_main_0_1,16,116
16_main_3_3,16,80
21_assy_0_1,21,126
21_main_0_1,21,58
22_assy_0_1,22,112
22_assy_2_3,22,125
22_main_0_1,22,64
25_assy_0_1,25,109
25_assy_2_1,25,81
25_main_0_1,25,70
27_assy_0_1,27,146
27_main_0_1,27,74
27_main_1_3,27,73
27_main_3_1,27,74
